Statename,Districtname,Subdistrictname,Blockname,Healthblockname,Healthfacilitytype,Facilityname,NIN,latitude,longitude,facility_type_standardized
Odisha,Bargarh,Attabira,Attabira,Attabira,primary health centre,Kadobahal,8364861180,21.31105,83.84225,phc
Odisha,Kendujhar,Daitari,Harichadanpur,Harichandapur,primary health centre,Rebenapalaspal,6162115734,21.31214,85.69865,phc
Odisha,Kendujhar,Harichandanpur,Harichadanpur,Harichandapur,primary health centre,Pithagola,3727345476,21.3132,85.63322,phc
Odisha,Bargarh,Attabira,Attabira,Attabira,primary health centre,Patrapali,2885736278,21.31372,83.77937,phc
Odisha,Baleshwar,Oupada,Oupada,Oupada,primary health centre,Fatepur,4432744359,21.31747,86.47015,phc
Odisha,Sambalpur,Naktideul,Naktideul,Naktideul,primary health centre,G.C Pur,1111347652,21.3194,84.3827,phc
Odisha,Bargarh,Bargarh Sadar,Bargarh,Bargarh,primary health centre,Patharla,1833873332,21.32238,83.55437,phc
Odisha,Baleshwar,Baleshwar Sadar,Remuna,Remuna,primary health centre,Inchudi,6644712876,21.32703,86.90881,phc
Odisha,Baleshwar,Oupada,Oupada,Oupada,primary health centre,Oupada,7221266518,21.32883,86.5013,phc
Odisha,Baleshwar,Soro,Soro,Soro,primary health centre,Manipur,8746362576,21.33052,86.61975,phc
Odisha,Sambalpur,Jujomura,Jujomura,Jujmura,primary health centre,Hatibari,1848236467,21.3313,84.10079,phc
Odisha,Baleshwar,Soro,Soro,Soro,primary health centre,Bagudi,5345352115,21.33916,86.66126,phc
Odisha,Baleshwar,Soro,Bahanaga,Bahanaga,primary health centre,Bahanaga,4234467639,21.33994,86.76331,phc
Odisha,Baleshwar,Soro,Soro,Soro,primary health centre,Kesharipur,8227881631,21.34231,86.69223,phc
Odisha,Bargarh,Attabira,Attabira,Attabira,primary health centre,Larambha,4446782528,21.34413,83.83382,phc
Odisha,Baleshwar,Baleshwar Sadar,Remuna,Remuna,primary health centre,Srijung,1111467716,21.34569,86.86433,phc
Odisha,Bargarh,Attabira,Attabira,Attabira,primary health centre,Janhapada,1111423586,21.34736,83.74119,phc
Odisha,Kendujhar,Harichandanpur,Harichadanpur,Harichandapur,primary health centre,Kalapat,4823462645,21.34845,85.67309,phc
Odisha,Bargarh,Sohela,Sohella,Sohela,primary health centre,Sarkanda,6248656388,21.3516,83.45704,phc
Odisha,Mayurbhanj,Sharata,Kaptipada,Kaptipada,primary health centre,Kalamgadia,7468881516,21.35416,86.38086,phc
Odisha,Sambalpur,Jujomura,Jujomura,Jujmura,primary health centre,Meghapal,1111353684,21.35513,84.24712,phc
Odisha,Bargarh,Bargarh,Bargarh,Bargarh,primary health centre,Kalapani,3814567685,21.35875,83.69949,phc
Odisha,Deogarh,Reamal,Reamal,Reamal,primary health centre,Reamal,1111434146,21.35914,84.66295,phc
Odisha,Mayurbhanj,Mahuldiha,Thakurmunda,Thakuramunda,primary health centre,Satkosia,7428228543,21.36029,86.14926,phc
Odisha,Anugul,Palalahada,Palalahada,Pallahada,primary health centre,Chasagurujang,7281766837,21.36158,85.11589,phc
Odisha,Bargarh,Sohela,Sohella,Sohela,primary health centre,Kudopali,5184775749,21.36178,83.29028,phc
Odisha,Anugul,Palalahada,Palalahada,Pallahada,primary health centre,Jharbeda,3681743823,21.37672,85.32359,phc
Odisha,Baleshwar,Nilagiri,Oupada,Oupada,primary health centre,Santaragadia,5137746482,21.37992,86.72178,phc
Odisha,Bargarh,Attabira,Attabira,Attabira,primary health centre,Kumelsingha,4733656682,21.38264,83.86468,phc
Odisha,Baleshwar,Baleshwar Sadar,Remuna,Remuna,primary health centre,Bedipur,1111467260,21.39207,86.84042,phc
Odisha,Baleshwar,Baleshwar Sadar,Baleshwar,Balasore,primary health centre,Palaspur,7827772653,21.39245,86.89824,phc
Odisha,Sambalpur,Sambalpur (M),Notmapped,Notmapped,uphc,UPHC Dhankauda,1111347355,21.39258,83.91327,phc
Odisha,Bargarh,Bhatli,Bhatli,Bhatli,primary health centre,Udepali,1418777288,21.39943,83.51135,phc
Odisha,Sambalpur,Sambalpur (M),Notmapped,Notmapped,uphc,UPHC Maneswar,1111346456,21.41479,84.03514,phc
Odisha,Kendujhar,Pandapara,Harichadanpur,Harichandapur,primary health centre,Janghira,6374375431,21.42715,85.61789,phc
Odisha,Baleshwar,Baleshwar Sadar,Remuna,Remuna,primary health centre,Sergarh,7325743388,21.42805,86.83457,phc
Odisha,Mayurbhanj,Sharata,Kaptipada,Kaptipada,primary health centre,Sarat,5833846537,21.4352,86.34431,phc
Odisha,Bargarh,Bhatli,Bhatli,Bhatli,primary health centre,Kamgaon,7646564828,21.43627,83.63176,phc
Odisha,Sambalpur,Sambalpur (M),Notmapped,Notmapped,uphc,UPHC Chaurpur,1111347322,21.43657,83.97003,phc
Odisha,Baleshwar,Baleshwar Sadar,Baleshwar,Balasore,primary health centre,Palaspur,7827772653,21.43732,86.89186,phc
Odisha,Kendujhar,Telkoi,Telkoi,Telkoi,primary health centre,Jagamohanpur,1176771119,21.43774,85.32244,phc
Odisha,Sambalpur,Jamankira,Jamankira,Jamanakera,primary health centre,Kulundi,1111348312,21.43922,84.19505,phc
Odisha,Deogarh,Reamal,Tileibani,Tileibani,primary health centre,Kansar,1887587135,21.43953,84.51137,phc
Odisha,Bargarh,Attabira,Attabira,Attabira,primary health centre,Lahanda,1111423644,21.44439,83.85555,phc
Odisha,Anugul,Palalahada,Palalahada,Pallahada,primary health centre,Chasagurujang,7281766837,21.4455,85.09106,phc
Odisha,Mayurbhanj,Sharata,Kaptipada,Kaptipada,primary health centre,Salachua,7264741682,21.44609,86.46488,phc
Odisha,Sambalpur,Jujomura,Jujomura,Jujmura,primary health centre,Padiabahal,5723738679,21.44863,84.15313,phc
Odisha,Kendujhar,Pandapara,Ghatgaon,Ghatagaon,primary health centre,Pandapada,8326544585,21.46443,85.69682,phc
Odisha,Baleshwar,Berhampur,Nilgiri,Nilagiri,primary health centre,Betkata,6112426256,21.47496,86.61063,phc
Odisha,Baleshwar,Baleshwar Sadar,Baleshwar,Balasore,primary health centre,Parikhi,7557436776,21.4755,87.06585,phc
Odisha,Kendujhar,Anandapur,Anandapur,Anandapur,primary health centre,Panasadiha,1315412815,21.47659,86.08969,phc
Odisha,Mayurbhanj,Sharata,Kaptipada,Kaptipada,primary health centre,Katuria,3344812833,21.47931,86.39322,phc
Odisha,Baleshwar,Nilagiri,Nilgiri,Nilagiri,primary health centre,Sajanagarh,3488137179,21.48072,86.73231,phc
Odisha,Sambalpur,Sambalpur (M),Notmapped,Notmapped,uphc,UPHC Dhanupali,1111347413,21.48568,83.96468,phc
Odisha,Mayurbhanj,Mahuldiha,Thakurmunda,Thakuramunda,primary health centre,Champajhar,8873281326,21.49083,86.24126,phc
Odisha,Baleshwar,Berhampur,Nilgiri,Nilagiri,primary health centre,Kalakad,8165843437,21.49229,86.67033,phc
Odisha,Anugul,Palalahada,Palalahada,Pallahada,primary health centre,Jamardihi,1211671464,21.49391,85.26055,phc
Odisha,Kendujhar,Ghatgaon,Ghatgaon,Ghatagaon,primary health centre,Dhenkikote,4626774451,21.49476,85.83467,phc
Odisha,Baleshwar,Baleshwar (M),Baleshwar,Notmapped,uphc,UPHC Sunhat,1111466544,21.49624,86.92603,phc
Odisha,Kendujhar,Pandapara,Harichadanpur,Harichandapur,primary health centre,Boxibarigaon,1155611849,21.49799,85.65376,phc
Odisha,Kendujhar,Kanjipani,Bansapal,Bansapal,primary health centre,Kanjipani,6145351224,21.50682,85.44149,phc
Odisha,Baleshwar,Basta,Baleshwar,Balasore,primary health centre,Bahabalapur,1111466338,21.51386,87.07346,phc
Odisha,Baleshwar,Baleshwar Sadar,Baleshwar,Balasore,primary health centre,Basanti Sindhia,3447743166,21.51939,87.00051,phc
Odisha,Mayurbhanj,Kaptipada,Kaptipada,Kaptipada,primary health centre,Nachhipur,7863546185,21.52007,86.49889,phc
Odisha,Sambalpur,Dhama,Maneswar,Maneswar,primary health centre,Parmanpur,5874618456,21.53145,84.10904,phc
Odisha,Kendujhar,Ghatgaon,Ghatgaon,Ghatagaon,primary health centre,Jharbeda,1734836289,21.53289,85.73178,phc
Odisha,Sambalpur,Dhama,Maneswar,Maneswar,primary health centre,Sangramal,1111346423,21.5329,84.18524,phc
Odisha,Sambalpur,Jamankira,Jamankira,Jamanakera,primary health centre,Jamankira,1111348221,21.53325,84.38342,phc
Odisha,Mayurbhanj,Udala,Udala,Udala,primary health centre,Radho,4528542782,21.53357,86.61103,phc
Odisha,Baleshwar,Singla,Baleshwar,Balasore,primary health centre,Kasafal,5642846850,21.53399,87.15022,phc
Odisha,Kendujhar,Kanjipani,Bansapal,Bansapal,primary health centre,Gonasika,5517683883,21.53819,85.50149,phc
Odisha,Deogarh,Barkot,Barkote,Barkote,primary health centre,Kandhal,5211753651,21.5479,84.8756,phc
Odisha,Mayurbhanj,Mahuldiha,Thakurmunda,Thakuramunda,primary health centre,Keshidiha,3475442855,21.55487,86.22684,phc
Odisha,Baleshwar,Nilagiri,Nilgiri,Nilagiri,primary health centre,Ajodhya,3342857376,21.55548,86.75858,phc
Odisha,Mayurbhanj,Kaptipada,Kaptipada,Kaptipada,primary health centre,Podadiha,8342356444,21.55881,86.43223,phc
Odisha,Baleshwar,Singla,Baliapal,Baliapal,primary health centre,Bolanga,1111466577,21.57183,87.1698,phc
Odisha,Bargarh,Ambabhona,Ambabhona,Ambabhona,primary health centre,Ambabhona,8441867135,21.57638,83.47546,phc
Odisha,Baleshwar,Remuna,Remuna,Remuna,primary health centre,Tikrapal,8385472264,21.57801,86.82839,phc
Odisha,Mayurbhanj,Thakurmunda,Thakurmunda,Thakuramunda,primary health centre,Padiabeda,1387378266,21.57881,86.06241,phc
Odisha,Baleshwar,Nilagiri,Nilgiri,Nilagiri,primary health centre,Kansa,1732844434,21.58241,86.75993,phc
Odisha,Kendujhar,Kanjipani,Bansapal,Bansapal,primary health centre,Suakati,3885368617,21.59084,85.50781,phc
Odisha,Sambalpur,Jamankira,Jamankira,Jamanakera,primary health centre,Banjari,1111348163,21.59583,84.43338,phc
Odisha,Deogarh,Debagarh,Barkote,Barkote,primary health centre,Kantapali,3813446584,21.60166,84.7741,phc
Odisha,Mayurbhanj,Khunta,Gopabandhunagar,Gopabandhunagar,primary health centre,Sainkula,8543258647,21.60285,86.70163,phc
Odisha,Baleshwar,Remuna,Remuna,Remuna,primary health centre,Palsia,8811244386,21.60409,86.8875,phc
Odisha,Kendujhar,Patana,Saharapada,Saharpada,primary health centre,Golkund,4733266839,21.60758,86.05846,phc
Odisha,Baleshwar,Bhograi,Bhograi,Bhogarai,primary health centre,Sradhapur,1111468227,21.61075,87.42348,phc
Odisha,Baleshwar,Singla,Baliapal,Baliapal,primary health centre,Langaleswar,3473825374,21.61548,87.18855,phc
Odisha,Sundargarh,Mahulapada,Lahunipara,Lahunipada,primary health centre,Mahulapada,7358533474,21.62726,85.11928,phc
Odisha,Kendujhar,Nayakote,Bansapal,Bansapal,primary health centre,Talajagar,1111381586,21.62769,85.53637,phc
Odisha,Baleshwar,Baliapal,Baliapal,Baliapal,primary health centre,Jamkunda,5847382628,21.63064,87.32407,phc
Odisha,Mayurbhanj,Udala,Udala,Udala,primary health centre,BADASINGARIA,5111333182,21.63208,86.56956,phc
Odisha,Sambalpur,Rengali,Rengali,Rengali,primary health centre,Katarbaga,4641113214,21.63599,84.05106,phc
Odisha,Mayurbhanj,Udala,Gopabandhunagar,Gopabandhunagar,primary health centre,Kusalda,1761212578,21.63726,86.66498,phc
