district,village_id,name,subdistrict,tru_2011,nearest_dist_km,covered
gajapati,413472,Bariapada,Adava,Rural,4.222509814481073,Covered
nuapada,422154,Dhungiamunda,Sinapali,Rural,4.223280630216283,Covered
bargarh,380315,Masanabahal,Bijepur,Rural,4.224887063028029,Covered
nuapada,421955,Sanamaheswar,Khariar,Rural,4.225042674034881,Covered
cuttack,398721,Kharod,Badamba,Rural,4.225252309263767,Covered
keonjhar,386275,Adala,Nayakote,Rural,4.225323447468895,Covered
dhenkanal,402491,Urbengi,Kankadahad,Rural,4.228226409155407,Covered
sonepur,419626,Sankhachol,Tarbha,Rural,4.228345468288111,Covered
rayagada,426296,Mandiapada,Rayagada,Rural,4.228552807684945,Covered
koraput,429974,Chougaon,Sunabeda,Rural,4.229067649198119,Covered
cuttack,398965,Kumusara,Banki,Rural,4.22907122053044,Covered
malkangiri,431189,Nilakota,Motu,Rural,4.230215811778495,Covered
nuapada,422243,Dhingiamunda Dhungiamunda,Sinapali,Rural,4.230304914134058,Covered
anugul,403425,Laxmipriyapur,Palalahada,Rural,4.231169089426411,Covered
mayurbhanj,390429,Talapada,Baisinga,Rural,4.231456673337867,Covered
rayagada,426961,Rambhi,Gudari,Rural,4.232532713973316,Covered
kalahandi,423591,Karlapita,Kegaon,Rural,4.232981753268079,Covered
sonepur,419811,Malpada,Tarbha,Rural,4.232981785600528,Covered
nuapada,421633,Bhanpur,Jonk,Rural,4.234512827486081,Covered
balangir,420214,Talgaj,Balangir,Rural,4.235051758803148,Covered
boudh,418133,Banjimunda,Manamunda,Rural,4.235063504788652,Covered
kandhamal,417655,Badagada,Raikia,Rural,4.236032910683649,Covered
kandhamal,417654,Sikripadar,Raikia,Rural,4.236032910683649,Covered
kandhamal,417664,Ghatikhariguda,Raikia,Rural,4.236032910683649,Covered
kandhamal,417662,Kakarabadi,Raikia,Rural,4.236032910683649,Covered
kandhamal,417663,Sandhigada,Raikia,Rural,4.236032910683649,Covered
kandhamal,417661,Ranaba,Raikia,Rural,4.236032910683649,Covered
sonepur,419813,Dungripali,Tarbha,Rural,4.236380242126059,Covered
boudh,417665,Kamaghat,Kantamal,Rural,4.237575298937809,Covered
anugul,404955,Naktideul,Kiakata,Rural,4.2404253877827225,Covered
anugul,404956,Karadadadar,Kiakata,Rural,4.2404253877827225,Covered
deogarh,382647,Rangamatia,Debagarh,Rural,4.24130209089185,Covered
balangir,420354,Palaskhand,Tushura,Rural,4.241441654843566,Covered
koraput,429386,Sukriguda,Boipariguda,Rural,4.241952036076227,Covered
boudh,418611,Jajpur,Puruna Katak,Rural,4.242052707683497,Covered
sonepur,418967,Khemundiamunda,Dunguripali,Rural,4.243694845773479,Covered
sambalpur,382457,Jhankarpada,Rairakhol,Rural,4.243807828640407,Covered
sambalpur,382152,Alighati,Jujomura,Rural,4.244156089557566,Covered
rayagada,426960,Kuturugonda,Gudari,Rural,4.244763866588078,Covered
rayagada,425434,Upparbarangpadar,Bishamakatak,Rural,4.244763866588078,Covered
rayagada,426952,Paramabhata,Gudari,Rural,4.244763866588078,Covered
rayagada,425433,Hikini,Bishamakatak,Rural,4.244763866588078,Covered
rayagada,426954,Kerla Guda,Gudari,Rural,4.244763866588078,Covered
rayagada,426959,Hiriki Badi,Gudari,Rural,4.244763866588078,Covered
rayagada,426964,Karanja,Gudari,Rural,4.244763866588078,Covered
rayagada,426900,Meranda,Gudari,Rural,4.244763866588078,Covered
