district,village_id,name,subdistrict,tru_2011,nearest_dist_km,covered
mayurbhanj,389795,Bhola,Suliapada,Rural,4.6078263667061305,Covered
mayurbhanj,389826,Patarnesa,Suliapada,Rural,4.6078263667061305,Covered
mayurbhanj,389825,Saluadahar,Suliapada,Rural,4.6078263667061305,Covered
mayurbhanj,389827,Kundiasul,Suliapada,Rural,4.6078263667061305,Covered
mayurbhanj,389792,Badnachna,Suliapada,Rural,4.6078263667061305,Covered
mayurbhanj,389824,Masinakathi,Suliapada,Rural,4.6078263667061305,Covered
bargarh,380054,Amdahan,Burdenp S,Rural,4.608043960431361,Covered
ganjam,410859,Ghasipada,Surada,Rural,4.608121002263008,Covered
koraput,428122,Ghumargam Ghomar,Kotpad,Rural,4.608253412525202,Covered
sonepur,419272,Lttipali Jungle,Biramaharajpur,Rural,4.608668033872171,Covered
koraput,428359,Sandhaguda,Bhairabsingipur,Rural,4.608808310481612,Covered
koraput,428360,Tingiriput,Bhairabsingipur,Rural,4.608808310481612,Covered
sundargarh,383733,Sagjore,Lephripara,Rural,4.608817554031589,Covered
sonepur,419535,Karlakhaman,Sonapur,Rural,4.608966089862342,Covered
jajapur,400701,Nigodha,Korai,Rural,4.609143473534498,Covered
mayurbhanj,391138,Gheepura,Kaptipada,Rural,4.609160695410779,Covered
nayagarh,406272,Damodarpur,Itamati,Rural,4.6100171132771255,Covered
dhenkanal,402461,Rupabedha,Kankadahad,Rural,4.610102805296002,Covered
dhenkanal,402462,Patabedha,Kankadahad,Rural,4.610102805296002,Covered
sundargarh,383489,Kalatapani,Hemgir,Rural,4.61060681695283,Covered
sambalpur,381426,Nagadihi,Mahulpalli,Rural,4.611289670184421,Covered
boudh,417844,Fulbahal,Kantamal,Rural,4.611468801329349,Covered
rayagada,426274,Bheja,Rayagada,Rural,4.6120090517720405,Covered
dhenkanal,402861,Dadhikhai,Tumusingha,Rural,4.6123147067947095,Covered
mayurbhanj,387692,Kautuka,Gorumahisani,Rural,4.612858446145821,Covered
sonepur,419637,Kutsira,Tarbha,Rural,4.613790114597016,Covered
baleshwar,393506,Bainchakhunta,Khaira,Rural,4.613910554902627,Covered
nayagarh,406173,Golapokhari,Fategarh,Rural,4.614046534419059,Covered
baleshwar,393672,Sardang,Khaira,Rural,4.614171399904591,Covered
ganjam,413440,Kanhaimal,Patapur,Rural,4.614570935950073,Covered
ganjam,413439,Tubudia,Patapur,Rural,4.614570935950073,Covered
baleshwar,393882,Olipatana,Soro,Rural,4.614751377360409,Covered
mayurbhanj,388694,Pandarsil,Raruan,Rural,4.615101655155117,Covered
baleshwar,391900,Daruha,Kamarda,Rural,4.615809863801147,Covered
malkangiri,430461,Pakhanaguda,Mathili,Rural,4.616007403121919,Covered
balangir,420695,Bindhanpathar,Patnagarh,Rural,4.616502383991015,Covered
sundargarh,384465,Theteiposh,Bisra,Rural,4.616695186806048,Covered
jajapur,400555,Manda Pada,Kalinganagar,Rural,4.616771853259746,Covered
nabarangpur,427690,Doragula,Dabugan,Rural,4.616861544617835,Covered
balangir,421543,Tankarupada,Titlagarh,Rural,4.617054117689233,Covered
kandhamal,417297,Kutilagan,Brahmanigaon,Rural,4.617172877615557,Covered
rayagada,426941,Tembaguda,Gudari,Rural,4.61737178075327,Covered
rayagada,426944,Goudadhepa Guda,Gudari,Rural,4.61737178075327,Covered
rayagada,426939,Andharalima,Gudari,Rural,4.61737178075327,Covered
rayagada,426940,Pedapadu,Gudari,Rural,4.61737178075327,Covered
dhenkanal,402942,Artasantrakateni,Motunga,Rural,4.617393149476897,Covered
bargarh,380636,Khandhat,Bargarh Sadar,Rural,4.617565094530705,Covered
bargarh,380383,Majhipali,Bijepur,Rural,4.618184113306149,Covered
dhenkanal,402544,Mahapatia,Bhuban,Rural,4.6181943415434175,Covered
koraput,429118,Katariput,Kundura,Rural,4.618582263538539,Covered
nabarangpur,427674,Junapani,Dabugan,Rural,4.618689144258332,Covered
sundargarh,384103,Birsu,Baragaon,Rural,4.619107800223623,Covered
nayagarh,406271,Melamba,Itamati,Rural,4.619286545115919,Covered
jajapur,400667,Tulasipur,Korai,Rural,4.619327094220949,Covered
rayagada,424717,Tolajamojodi,Ambadala,Rural,4.619724673120055,Covered
rayagada,424720,Jiringili,Ambadala,Rural,4.619724673120055,Covered
rayagada,424716,Biripuda,Ambadala,Rural,4.619724673120055,Covered
koraput,428764,Talaputesu,Bandhugaon,Rural,4.619781712741056,Covered
anugul,405200,Badakera,Bantala,Rural,4.620068950055972,Covered
kalahandi,422334,Masani Munda,Kesinga,Rural,4.620507361556857,Covered
anugul,405231,Bantala,Bantala,Rural,4.620760342906905,Covered
ganjam,413441,Silisinga,Patapur,Rural,4.620932500363777,Covered
ganjam,413447,Anjagul,Patapur,Rural,4.620932500363777,Covered
ganjam,413453,Sanagam,Patapur,Rural,4.620932500363777,Covered
ganjam,413442,Kalada,Patapur,Rural,4.620932500363777,Covered
sambalpur,382478,Kakanpada,Rairakhol,Rural,4.620940737201921,Covered
balangir,421109,Ghusuramunda,Saintala,Rural,4.621023292703193,Covered
bargarh,380071,Sargipali,Gaisilet,Rural,4.621059417532054,Covered
sundargarh,384215,Jhagarpur,Rajagangapur,Rural,4.621506517377575,Covered
koraput,429620,Sanasagar,Machh Kund,Rural,4.621974208736628,Covered
mayurbhanj,388316,Saraspada,Badampahar,Rural,4.622428312586731,Covered
mayurbhanj,387733,Badmauda,Gorumahisani,Rural,4.622648292666262,Covered
baleshwar,394245,Samasundarpur,Similia,Rural,4.623075668271912,Covered
nuapada,422051,Mankarchuan,Khariar,Rural,4.623142882069296,Covered
nabarangpur,427527,Kolegam,Jharigan,Rural,4.623340223624636,Covered
rayagada,250565,Rayagada M,Rayagada,Urban,4.623673402733098,Covered
nayagarh,406487,Jamupatna,Odagaon,Rural,4.623708653825694,Covered
rayagada,425316,Mandapai,Bishamakatak,Rural,4.623807477912695,Covered
baleshwar,391866,Khalagadia,Kamarda,Rural,4.623905827020594,Covered
rayagada,426430,Uparatitijhola,Rayagada,Rural,4.624008390767923,Covered
kalahandi,424311,Raymal,Thuamul Rampur,Rural,4.624213794079991,Covered
kalahandi,424312,Kelua,Thuamul Rampur,Rural,4.624213794079991,Covered
kalahandi,423121,Talbara,Lanjigarh,Rural,4.624213794079991,Covered
kalahandi,424304,Mohangiri,Thuamul Rampur,Rural,4.624213794079991,Covered
kalahandi,423717,Gangapur,Junagarh,Rural,4.625141859100316,Covered
gajapati,414937,Ururahill Urudahill,Garabandha,Rural,4.625250632798543,Covered
